loại nhà đất,địa chỉ,giá,diện tích,giá/m2,mặt tiền,phòng ngủ,pháp lý,tọa độ x,tọa độ y,số tầng
0,2,11000.0,120.0,91.67,,3.0,1.0,10794648392.9535,106720517256.253,
0,20,7280.0,107.0,68.0,,3.0,2.0,10826529812.883495,106818943319.06096,
0,9,11800.0,79.0,149.37,,2.0,1.0,10783513609.4312,106703466126.586,
0,21,3170.0,69.0,45.9,,2.0,2.0,10885881705.5582,106771160111.002,
3,20,12300.0,91.0,135.16,7.0,,,10806114133.0252,106789563066.164,
0,2,7000.0,80.0,87.5,,2.0,,10794928550.7202,106720741271.973,
0,20,4630.0,68.0,68.09,,1.0,2.0,10826643939.8788,106818738968.643,
0,20,3350.0,55.0,60.91,,1.0,,10841329601.7645,106839139603.865,
0,2,13000.0,101.0,128.71,,2.0,2.0,10789137702.9062,106717164535.908,
0,20,6800.0,100.0,68.0,,3.0,1.0,10826370220.4152,106818908636.248,
5,12,14300.0,100.0,143.0,5.0,6.0,1.0,10844692324.285631,106620638357.51315,4.0
0,20,3890.0,75.0,51.87,,2.0,,10841227320.7904,106840016476.577,
0,20,3740.0,66.5,56.3,,2.0,,10841196306.75818,106840423791.82968,
0,13,19900.0,83.0,239.76,,2.0,,10772739048.2306,106713541735.553,
0,20,4360.0,82.0,53.16,,3.0,,10844144007.55121,106846334525.9647,
0,20,6700.0,96.0,69.79,,3.0,2.0,10840310428.15682,106839337675.06197,
0,20,4620.0,68.0,68.0,,2.0,2.0,10826981265.8606,106819662603.083,
3,23,15500.0,95.0,163.16,7.5,8.0,1.0,10791717527.0045,106632632864.942,5.0
0,23,5800.0,85.0,68.24,,2.0,,10804259318.7655,106617004081.956,
0,18,2700.0,54.0,50.0,,1.0,1.0,10717969702.766672,106741996446.36006,
7,4,3200.0,874.0,3.66,11.0,,,11016045663.8196,106427910304.828,
2,12,7200.0,111.1,64.81,5.67,4.0,1.0,10860396528.4287,106643840865.611,1.0
0,21,3700.0,65.0,56.92,,2.0,1.0,10837496666.2733,106717120684.462,
0,20,3900.0,75.0,52.0,,2.0,1.0,10841009965.519,106839697254.36,
0,18,3200.0,68.0,47.06,,2.0,2.0,10718033790.5884,106742393493.652,
0,13,15000.0,97.0,154.64,,2.0,1.0,10779318353.2615,106747790132.865,
3,20,17000.0,84.0,202.38,,,1.0,10841574523.589191,106840093089.82326,
0,20,3620.0,58.7,61.6,,2.0,,10841089830.045773,106840834358.99118,
0,20,3910.0,58.9,66.45,,2.0,,10843284068.510836,106845100642.99435,
0,18,6500.0,102.0,63.72,,3.0,2.0,10730661802.0085,106732041839.665,
0,20,5500.0,79.7,69.01,,2.0,,10843908831.902027,106845610714.59016,
0,20,2830.0,46.5,60.92,,,,10841578671.418703,106840420714.3792,
0,20,2680.0,69.0,38.84,,2.0,1.0,10841606767.154076,106840027772.13956,
0,20,4700.0,52.0,90.38,,1.0,2.0,10826417839.859762,106818897221.10284,
0,20,4600.0,80.0,57.5,,2.0,2.0,10826460790.435902,106819648300.315,
0,20,3230.0,54.0,59.8,,2.0,1.0,10840115606.388613,106839828801.9531,
0,20,3500.0,81.0,43.21,,3.0,2.0,10842536622.0564,106842955184.627,
0,13,7500.0,52.0,144.23,,1.0,1.0,10804221136.8815,106748655117.215,
0,20,4800.0,80.2,59.85,,2.0,2.0,10841101571.359478,106839355596.02342,
0,20,5500.0,79.7,69.01,,2.0,,10843593599.018456,106845157573.86848,
0,18,5000.0,66.0,75.76,,2.0,1.0,10750350952.1484,106723175048.828,
